Sample	Spike_median_coverage	Spike_min_coverage	Spike_max_coverage	RBD_median_coverage	RBD_min_coverage	RBD_max_coverage
07293303	2278	4	4499	1452	168	2570
07293304	2894	13	5552	2208	1443	3327
07293305	2281	3	4199	1468	749	2359
07293306	2607.5	8	4788	1669	399	2818
07293307	2730	3	5314	1723.5	334	3159
07293308	3269	6	6798	2025	135	3981
07293309	2671	5	4589	1775.5	1055	2742
07293310	3315	4	6533	2655	1824	4299
07293311	2936	13	5735	2316	1658	3779
07293312	2328	1	4707	1561	78	2638
07293313	2783	5	5351	1798	212	3188
07293314	1495.5	3	3113	961	394	1440
07293315	3018.5	7	6262	2389.5	1563	4109
07293316	2449	5	4335	1540	840	2539
07293317	2749.5	9	4999	1779	696	2765
07293318	3470	10	6051	2595.5	1733	3966
07293319	1896	4	3805	1324.5	490	2031
07293320	3082	2	5454	1919	616	3207
07293321	3219	7	5627	2063	789	3186
07293322	2800	3	5709	1762	143	3385
07293323	2072	7	4107	1494.5	943	2691
07293324	2854	9	5138	1759	748	2750
07293325	3255.5	2	5664	2064	683	3398
07293326	3233	3	5737	2288.5	1024	3343
07293327	3926	3	6210	2651	1506	3925
07293328	3176.5	931	6173	1897.5	931	2877
07293329	3075	11	6754	2544	1633	4087
07293330	3082	29	5909	1941	611	3093
07293331	3074	1	5528	2056	1002	3024
07293332	1716	2	3553	1144	91	1927
07293333	2224	6	4073	1504	656	2249
07293334	2743.5	5	5450	1833.5	362	3140
07293335	2357	0	4843	1608.5	66	2761
07293336	3008	5	5689	1942	475	3278
07293337	3484	7	6423	2182	633	3583
07293338	3132	6	5719	2127.5	862	3260
07293339	3154	8	5567	2147	1028	3140
07293340	3792	14	7849	3278	2131	5187
07293341	1342	0	3657	1417	0	2278
07293342	211	0	2627	95	0	162
07293343	900	0	3217	1114	0	1671
07293344	2675	11	7035	2237	1516	4433
07293345	1931.5	9	4896	1552	1078	2878
07293346	2878	497	5350	1718	497	2925
07293347	3360.5	2	5706	2225	1013	3341
07293348	3100	16	5786	1978	748	3172
07293349	2781	6	5559	1747	321	3072
07293350	3346	21	7490	3012.5	2040	4705
07293351	3112	9	6859	2128	79	3939
07293352	3165.5	5	6516	2069	123	3864
07293353	2384	333	4465	1440	333	2334
07293354	2073	13	5108	1748	1144	2824
07293355	2038	4	4092	1314	205	2391
07293356	2165	7	4469	1418.5	170	2573
07293357	2347	8	5624	1902	1233	2945
07293358	2305	6	5628	1935	1351	3287
07293359	2138	9	4417	1368	385	2340
07293360	2786	14	7756	2311	1648	4583
07293361	2964	9	6348	1965	1173	3304
07293362	2887	10	7388	2338	1570	4388
07293363	2578	5	6547	2148	1539	3859
07293364	2561	14	5494	1822	1087	2816
07293365	1980	12	4479	1506	866	2284
07293366	2126	7	4536	1435	744	2218
07293367	2571	8	5757	1851	1133	3152
07293368	2933	17	5757	1837.5	585	3007
07293369	2885	12	7362	2241.5	1539	4425
07293370	3401	0	6754	2108	625	3680
07293371	2765	15	5653	1759	887	2850
07293372	2848	12	6309	1917.5	1014	3041
07293373	2827	20	6135	1864	804	2982
07293374	3100	12	8607	2650	1765	5535
07293375	2374	6	5055	1526	182	2960
07293376	2484	7	5037	1540.5	357	2822
07293377	2419.5	16	5682	1676	906	2826
07293378	2160	18	4717	1459.5	109	2786
07293379	2883	12	6310	2106	1253	3335
07293380	3099	14	8385	2632	1730	5366
07293381	2079	9	4220	1380.5	424	2357
07293382	1955.5	1	4633	1551.5	11	2924
07293383	2554	10	6687	2049.5	1384	3905
07293384	1852	4	7512	2556	4	4291
